customer_id,order_id,order_date,product_name,category,quantity,unit_price,total_amount,payment_method,city,returned,true_segment
C0001,ORD00001,24-12-2023,Laptop Stand,Electronics,1,5945.88,5945.88,UPI,Delhi,FALSE,champion
C0001,ORD00002,22-12-2023,Samsung Galaxy S23,Electronics,1,88745.52,88745.52,Net Banking,Delhi,FALSE,champion
C0001,ORD00003,23-11-2023,Wireless Earbuds,Electronics,3,8509.24,25527.73,UPI,Delhi,FALSE,champion
C0001,ORD00004,06-12-2023,Perfume,Beauty,3,5688.05,17064.16,Debit Card,Delhi,FALSE,champion
C0001,ORD00005,09-12-2023,Samsung Galaxy S23,Electronics,3,95197.09,285591.28,Net Banking,Delhi,FALSE,champion
C0001,ORD00006,05-11-2023,Bed Sheet Set,Home,4,1999.87,7999.49,COD,Delhi,FALSE,champion
C0001,ORD00007,06-12-2023,Data Science Book,Books,3,1398.4,4195.21,UPI,Delhi,FALSE,champion
C0001,ORD00008,12-12-2023,Moisturizer,Beauty,3,1115.33,3345.98,Credit Card,Delhi,FALSE,champion
C0001,ORD00009,24-11-2023,Formal Shirt,Fashion,3,2856.3,8568.9,Debit Card,Delhi,FALSE,champion
C0001,ORD00010,16-10-2023,Moisturizer,Beauty,1,1220.84,1220.84,Credit Card,Delhi,FALSE,champion
C0001,ORD00011,12-06-2023,Perfume,Beauty,4,4052.26,16209.04,Net Banking,Delhi,FALSE,champion
C0001,ORD00012,27-09-2023,Moisturizer,Beauty,1,1375.56,1375.56,UPI,Delhi,FALSE,champion
C0001,ORD00013,08-08-2023,Formal Shirt,Fashion,2,2817.42,5634.83,Net Banking,Delhi,FALSE,champion
C0001,ORD00014,27-07-2023,Wireless Earbuds,Electronics,4,11313.97,45255.86,COD,Delhi,FALSE,champion
C0002,ORD00015,12-11-2023,Kurta Set,Fashion,4,3596.24,14384.97,COD,Bangalore,FALSE,loyal
C0002,ORD00016,12-10-2023,Wireless Earbuds,Electronics,2,10376.36,20752.72,UPI,Bangalore,FALSE,loyal
C0002,ORD00017,04-11-2023,Air Purifier,Home,2,8646.71,17293.42,COD,Bangalore,FALSE,loyal
C0002,ORD00018,27-10-2023,Formal Shirt,Fashion,4,2112.6,8450.4,Net Banking,Bangalore,FALSE,loyal
C0002,ORD00019,08-11-2023,Moisturizer,Beauty,3,1589.87,4769.6,Debit Card,Bangalore,FALSE,loyal
C0002,ORD00020,25-09-2023,Kurta Set,Fashion,4,2419.06,9676.26,Debit Card,Bangalore,TRUE,loyal
C0003,ORD00021,14-08-2023,Air Purifier,Home,2,12208.97,24417.94,Credit Card,Bangalore,FALSE,at_risk
C0003,ORD00022,14-05-2023,Bed Sheet Set,Home,1,3021.6,3021.6,COD,Bangalore,FALSE,at_risk
C0003,ORD00023,08-08-2023,Samsung Galaxy S23,Electronics,3,58581.97,175745.92,Credit Card,Bangalore,FALSE,at_risk
C0004,ORD00024,29-12-2023,Bed Sheet Set,Home,4,2378.5,9513.99,Credit Card,Delhi,FALSE,champion
C0004,ORD00025,21-12-2023,Data Science Book,Books,4,2383.14,9532.54,Net Banking,Delhi,FALSE,champion
C0004,ORD00026,17-12-2023,Perfume,Beauty,3,4667.79,14003.37,Net Banking,Delhi,FALSE,champion
C0004,ORD00027,18-11-2023,Samsung Galaxy S23,Electronics,1,89916.22,89916.22,Net Banking,Delhi,FALSE,champion
C0004,ORD00028,23-10-2023,Wireless Earbuds,Electronics,1,10402.79,10402.79,UPI,Delhi,FALSE,champion
C0004,ORD00029,24-11-2023,Samsung Galaxy S23,Electronics,3,116216.8,348650.4,Credit Card,Delhi,FALSE,champion
C0004,ORD00030,08-11-2023,Moisturizer,Beauty,2,1810.62,3621.24,Net Banking,Delhi,FALSE,champion
C0004,ORD00031,29-08-2023,Python Book,Books,4,967.3,3869.19,Credit Card,Delhi,FALSE,champion
C0004,ORD00032,06-12-2023,Samsung Galaxy S23,Electronics,3,106359.31,319077.93,COD,Delhi,FALSE,champion
C0004,ORD00033,14-12-2023,Moisturizer,Beauty,1,2264.33,2264.33,Debit Card,Delhi,FALSE,champion
C0004,ORD00034,26-11-2023,Wireless Earbuds,Electronics,4,5005.62,20022.5,Credit Card,Delhi,FALSE,champion
C0004,ORD00035,28-09-2023,Python Book,Books,1,974.79,974.79,Net Banking,Delhi,FALSE,champion
C0004,ORD00036,23-11-2023,iPhone 15,Electronics,1,166085.8,166085.8,Credit Card,Delhi,FALSE,champion
C0004,ORD00037,25-10-2023,Formal Shirt,Fashion,2,3645.44,7290.87,UPI,Delhi,FALSE,champion
C0004,ORD00038,20-10-2023,Formal Shirt,Fashion,4,1808.19,7232.76,COD,Delhi,FALSE,champion
C0004,ORD00039,22-08-2023,Formal Shirt,Fashion,4,4447.05,17788.19,Debit Card,Delhi,FALSE,champion
C0004,ORD00040,15-09-2023,iPhone 15,Electronics,1,163167.21,163167.21,UPI,Delhi,FALSE,champion
C0005,ORD00041,26-10-2023,Samsung Galaxy S23,Electronics,1,57026.85,57026.85,Credit Card,Mumbai,FALSE,at_risk
C0005,ORD00042,04-09-2023,Samsung Galaxy S23,Electronics,2,58831.92,117663.85,UPI,Mumbai,FALSE,at_risk
C0005,ORD00043,05-10-2023,Formal Shirt,Fashion,3,2149.01,6447.03,Credit Card,Mumbai,FALSE,at_risk
C0005,ORD00044,28-06-2023,Wireless Earbuds,Electronics,2,3006.18,6012.36,Debit Card,Mumbai,FALSE,at_risk
C0006,ORD00045,17-12-2023,Face Serum,Beauty,1,3635.38,3635.38,Credit Card,Ahmedabad,FALSE,loyal
C0006,ORD00046,26-10-2023,Kurta Set,Fashion,3,1279.36,3838.08,Credit Card,Ahmedabad,FALSE,loyal
C0006,ORD00047,02-10-2023,Kurta Set,Fashion,3,1374.71,4124.12,Net Banking,Ahmedabad,FALSE,loyal
C0006,ORD00048,14-12-2023,Moisturizer,Beauty,3,1759.02,5277.05,UPI,Ahmedabad,FALSE,loyal
C0006,ORD00049,23-10-2023,Kurta Set,Fashion,1,1215.17,1215.17,Credit Card,Ahmedabad,FALSE,loyal
C0007,ORD00050,26-11-2023,Moisturizer,Beauty,3,1438.09,4314.26,Debit Card,Hyderabad,FALSE,loyal
C0007,ORD00051,21-11-2023,Samsung Galaxy S23,Electronics,3,68491.4,205474.19,Debit Card,Hyderabad,TRUE,loyal
C0007,ORD00052,04-11-2023,Moisturizer,Beauty,2,2044.55,4089.09,Net Banking,Hyderabad,FALSE,loyal
C0007,ORD00053,09-08-2023,Data Science Book,Books,1,595.69,595.69,Credit Card,Hyderabad,FALSE,loyal
C0007,ORD00054,24-05-2023,iPhone 15,Electronics,2,112699.47,225398.94,UPI,Hyderabad,FALSE,loyal
C0007,ORD00055,18-07-2023,Running Shoes,Fashion,1,8417.11,8417.11,Credit Card,Hyderabad,FALSE,loyal
C0008,ORD00056,22-11-2023,Face Serum,Beauty,2,1779.04,3558.08,Credit Card,Chennai,FALSE,new
C0008,ORD00057,08-08-2023,iPhone 15,Electronics,3,58869.77,176609.31,COD,Chennai,FALSE,new
C0009,ORD00058,23-11-2023,Air Purifier,Home,2,13574.92,27149.84,COD,Chennai,FALSE,loyal
C0009,ORD00059,18-10-2023,Kurta Set,Fashion,2,3873.42,7746.84,Credit Card,Chennai,FALSE,loyal
C0009,ORD00060,02-09-2023,Running Shoes,Fashion,1,4223.36,4223.36,Debit Card,Chennai,FALSE,loyal
C0009,ORD00061,07-08-2023,Moisturizer,Beauty,3,1219.01,3657.02,UPI,Chennai,FALSE,loyal
C0009,ORD00062,08-08-2023,Laptop Stand,Electronics,3,3459.53,10378.6,Net Banking,Chennai,TRUE,loyal
C0010,ORD00063,20-11-2023,Samsung Galaxy S23,Electronics,2,62015.08,124030.16,COD,Kolkata,FALSE,loyal
C0010,ORD00064,20-11-2023,Data Science Book,Books,2,1607.76,3215.52,UPI,Kolkata,FALSE,loyal
C0010,ORD00065,02-10-2023,Face Serum,Beauty,1,1588.61,1588.61,Debit Card,Kolkata,FALSE,loyal
C0010,ORD00066,01-08-2023,Kurta Set,Fashion,3,3294.19,9882.56,Debit Card,Kolkata,FALSE,loyal
C0010,ORD00067,11-06-2023,Laptop Stand,Electronics,4,2448.78,9795.14,Credit Card,Kolkata,FALSE,loyal
C0010,ORD00068,26-04-2023,Kurta Set,Fashion,1,2310.9,2310.9,Credit Card,Kolkata,FALSE,loyal
C0010,ORD00069,15-05-2023,Bed Sheet Set,Home,3,2904.15,8712.46,COD,Kolkata,FALSE,loyal
C0011,ORD00070,10-08-2023,Kurta Set,Fashion,3,2094.81,6284.43,Credit Card,Chennai,FALSE,at_risk
C0011,ORD00071,01-07-2023,Wireless Earbuds,Electronics,2,6684.63,13369.26,Credit Card,Chennai,TRUE,at_risk
C0011,ORD00072,10-04-2023,Face Serum,Beauty,1,2454.4,2454.4,Net Banking,Chennai,FALSE,at_risk
C0011,ORD00073,27-05-2023,Perfume,Beauty,4,4103.23,16412.92,Credit Card,Chennai,FALSE,at_risk
C0012,ORD00074,19-03-2023,Laptop Stand,Electronics,4,1864.93,7459.73,Credit Card,Mumbai,FALSE,lost
C0013,ORD00075,09-08-2023,Data Science Book,Books,4,956.13,3824.54,Net Banking,Delhi,FALSE,at_risk
C0013,ORD00076,03-07-2023,Air Purifier,Home,4,15021.97,60087.9,COD,Delhi,FALSE,at_risk
C0013,ORD00077,24-05-2023,Kurta Set,Fashion,3,2780.15,8340.46,Net Banking,Delhi,FALSE,at_risk
